Animal,DominanceCategory,Phenotype,Pair,DateTime,Session,Focal,Duration,Count,Month,MonthlyFruitBiomass,FruitBiomassCategory,TaxonNEW
CE,low,D,8,10/16/2019,68,245,3144,9,10,29.0961191,High,FIN
CE,low,D,8,10/16/2019,68,245,3144,26,10,29.0961191,High,LGRA
CE,low,D,8,10/18/2019,70,248,3917,1,10,29.0961191,High,CATA
CE,low,D,8,10/18/2019,70,248,3917,5,10,29.0961191,High,EFI
CE,low,D,8,10/18/2019,70,248,3917,6,10,29.0961191,High,SOBO
CE,low,D,8,10/18/2019,70,248,3917,27,10,29.0961191,High,FIN
CE,low,D,8,11/19/2019,82,273,6210,7,11,48.12151099,High,CVER
CE,low,D,8,11/19/2019,82,273,6210,130,11,48.12151099,High,QOLE
CE,low,D,8,11/19/2019,82,273,6210,6,11,48.12151099,High,CATA
CE,low,D,8,11/19/2019,82,273,6210,10,11,48.12151099,High,FIN
CE,low,D,8,11/19/2019,82,273,6210,26,11,48.12151099,High,LGRA
VN,low,D,7,6/20/2019,6,126,6019,74,6,8.760734086,Low,GAME
VN,low,D,7,6/20/2019,6,126,6019,41,6,8.760734086,Low,CATA
VN,low,D,7,6/20/2019,6,126,6019,3,6,8.760734086,Low,FIN
VN,low,D,7,7/16/2019,17,150,5604,8,7,11.77498434,Low,ANTS
VN,low,D,7,7/16/2019,17,150,5604,5,7,11.77498434,Low,EFI
VN,low,D,7,7/16/2019,17,150,5604,53,7,11.77498434,Low,CATA
VN,low,D,7,7/16/2019,17,150,5604,29,7,11.77498434,Low,FIN
VN,low,D,7,8/6/2019,27,172,4829,1,8,14.46787252,Low,EFI
VN,low,D,7,8/6/2019,27,172,4829,8,8,14.46787252,Low,FIN
VN,low,D,7,8/6/2019,27,172,4829,34,8,14.46787252,Low,LGRA
VN,low,D,7,9/4/2019,43,199,5606,18,9,70.57240697,High,ANTS
VN,low,D,7,9/4/2019,43,199,5606,94,9,70.57240697,High,EFI
VN,low,D,7,9/4/2019,43,199,5606,11,9,70.57240697,High,GMAC
VN,low,D,7,9/4/2019,43,199,5606,7,9,70.57240697,High,MTIN
VN,low,D,7,9/4/2019,43,199,5606,32,9,70.57240697,High,SOBO
VN,low,D,7,9/4/2019,43,199,5606,3,9,70.57240697,High,CATA
VN,low,D,7,9/4/2019,43,199,5606,15,9,70.57240697,High,FIN
VN,low,D,7,9/30/2019,55,219,4879,5,9,70.57240697,High,ANTS
VN,low,D,7,9/30/2019,55,219,4879,40,9,70.57240697,High,EFI
VN,low,D,7,9/30/2019,55,219,4879,7,9,70.57240697,High,PPLA
VN,low,D,7,9/30/2019,55,219,4879,104,9,70.57240697,High,SOBO
VN,low,D,7,9/30/2019,55,219,4879,6,9,70.57240697,High,FIN
VN,low,D,7,9/30/2019,55,219,4879,7,9,70.57240697,High,LGRA
VN,low,D,7,10/16/2019,67,242,6586,15,10,29.0961191,High,ANTS
VN,low,D,7,10/16/2019,67,242,6586,34,10,29.0961191,High,EFI
VN,low,D,7,10/16/2019,67,242,6586,166,10,29.0961191,High,FCOT
VN,low,D,7,10/16/2019,67,242,6586,67,10,29.0961191,High,SOBO
VN,low,D,7,10/16/2019,67,242,6586,7,10,29.0961191,High,ANTS
VN,low,D,7,10/16/2019,67,242,6586,5,10,29.0961191,High,CATA
VN,low,D,7,10/16/2019,67,242,6586,6,10,29.0961191,High,FIN
VN,low,D,7,11/15/2019,80,269,5415,81,11,48.12151099,High,EFI
VN,low,D,7,11/15/2019,80,269,5415,23,11,48.12151099,High,CVER
VN,low,D,7,11/15/2019,80,269,5415,400,11,48.12151099,High,FCOT
VN,low,D,7,11/15/2019,80,269,5415,3,11,48.12151099,High,SOBO
VN,low,D,7,11/15/2019,80,269,5415,14,11,48.12151099,High,CATA
VN,low,D,7,11/15/2019,80,269,5415,16,11,48.12151099,High,FIN
CH,low,T,7,6/20/2019,6,127,5580,4,6,8.760734086,Low,EFI
CH,low,T,7,6/20/2019,6,127,5580,111,6,8.760734086,Low,GAME
CH,low,T,7,6/20/2019,6,127,5580,3,6,8.760734086,Low,CATA
CH,low,T,7,6/20/2019,6,127,5580,6,6,8.760734086,Low,FIN
CH,low,T,7,7/16/2019,17,152,5743,7,7,11.77498434,Low,EFI
CH,low,T,7,7/16/2019,17,152,5743,12,7,11.77498434,Low,BPOL
CH,low,T,7,7/16/2019,17,152,5743,114,7,11.77498434,Low,CATA
CH,low,T,7,7/16/2019,17,152,5743,14,7,11.77498434,Low,FIN
CH,low,T,7,8/6/2019,27,175,6791,4,8,14.46787252,Low,MTIN
CH,low,T,7,8/6/2019,27,175,6791,3,8,14.46787252,Low,CATA
CH,low,T,7,8/6/2019,27,175,6791,11,8,14.46787252,Low,FIN
CH,low,T,7,8/6/2019,27,175,6791,34,8,14.46787252,Low,LGRA
CH,low,T,7,9/4/2019,43,198,5250,29,9,70.57240697,High,EFI
CH,low,T,7,9/4/2019,43,198,5250,7,9,70.57240697,High,GMAC
CH,low,T,7,9/4/2019,43,198,5250,2,9,70.57240697,High,CATA
CH,low,T,7,9/4/2019,43,198,5250,19,9,70.57240697,High,FIN
CH,low,T,7,9/30/2019,55,220,5933,130,9,70.57240697,High,ANTS
CH,low,T,7,9/30/2019,55,220,5933,61,9,70.57240697,High,EFI
CH,low,T,7,9/30/2019,55,220,5933,25,9,70.57240697,High,FCOT
CH,low,T,7,9/30/2019,55,220,5933,54,9,70.57240697,High,SOBO
CH,low,T,7,9/30/2019,55,220,5933,10,9,70.57240697,High,FIN
CH,low,T,7,9/30/2019,55,220,5933,118,9,70.57240697,High,LGRA
CH,low,T,7,10/16/2019,67,243,6187,54,10,29.0961191,High,EFI
CH,low,T,7,10/16/2019,67,243,6187,213,10,29.0961191,High,FCOT
CH,low,T,7,10/16/2019,67,243,6187,4,10,29.0961191,High,SOBO
CH,low,T,7,10/16/2019,67,243,6187,9,10,29.0961191,High,CATA
CH,low,T,7,10/16/2019,67,243,6187,5,10,29.0961191,High,FIN
CH,low,T,7,11/15/2019,80,268,6001,6,11,48.12151099,High,CATA
CH,low,T,7,11/15/2019,80,268,6001,15,11,48.12151099,High,EFI
CH,low,T,7,11/15/2019,80,268,6001,588,11,48.12151099,High,FCOT
CH,low,T,7,11/15/2019,80,268,6001,66,11,48.12151099,High,SOBO
CH,low,T,7,11/15/2019,80,268,6001,3,11,48.12151099,High,CATA
CH,low,T,7,11/15/2019,80,268,6001,15,11,48.12151099,High,FIN
SI,high,D,3,6/17/2019,4,121,6287,2,6,8.760734086,Low,EFI
SI,high,D,3,6/17/2019,4,121,6287,91,6,8.760734086,Low,CATA
SI,high,D,3,6/17/2019,4,121,6287,20,6,8.760734086,Low,FIN
SI,high,D,3,7/22/2019,21,163,5135,26,7,11.77498434,Low,ANTS
SI,high,D,3,7/22/2019,21,163,5135,37,7,11.77498434,Low,EFI
SI,high,D,3,7/22/2019,21,163,5135,10,7,11.77498434,Low,ANTS
SI,high,D,3,7/22/2019,21,163,5135,8,7,11.77498434,Low,CATA
SI,high,D,3,7/22/2019,21,163,5135,13,7,11.77498434,Low,FIN
SI,high,D,3,8/16/2019,34,184,5646,13,8,14.46787252,Low,MTIN
SI,high,D,3,8/16/2019,34,184,5646,44,8,14.46787252,Low,PPLA
SI,high,D,3,8/16/2019,34,184,5646,2,8,14.46787252,Low,SOBO
SI,high,D,3,8/16/2019,34,184,5646,2,8,14.46787252,Low,CATA
SI,high,D,3,8/16/2019,34,184,5646,3,8,14.46787252,Low,HIVE
SI,high,D,3,8/16/2019,34,184,5646,7,8,14.46787252,Low,FIN
SI,high,D,3,9/16/2019,50,275,5546,2,9,70.57240697,High,ANTS
SI,high,D,3,9/16/2019,50,275,5546,7,9,70.57240697,High,EFI
SI,high,D,3,9/16/2019,50,275,5546,84,9,70.57240697,High,GMAC
SI,high,D,3,9/16/2019,50,275,5546,4,9,70.57240697,High,ANTS
SI,high,D,3,9/16/2019,50,275,5546,1,9,70.57240697,High,CATA
SI,high,D,3,9/16/2019,50,275,5546,37,9,70.57240697,High,HIVE
SI,high,D,3,9/16/2019,50,275,5546,19,9,70.57240697,High,FIN
SI,high,D,3,10/8/2019,63,235,6650,1,10,29.0961191,High,EFI
SI,high,D,3,10/8/2019,63,235,6650,690,10,29.0961191,High,FCOT
SI,high,D,3,10/8/2019,63,235,6650,124,10,29.0961191,High,SOBO
SI,high,D,3,10/8/2019,63,235,6650,3,10,29.0961191,High,CATA
SI,high,D,3,10/29/2019,72,253,7356,2,10,29.0961191,High,EFI
SI,high,D,3,10/29/2019,72,253,7356,245,10,29.0961191,High,CVER
SI,high,D,3,10/29/2019,72,253,7356,189,10,29.0961191,High,SOBO
SI,high,D,3,10/29/2019,72,253,7356,15,10,29.0961191,High,CATA
PR,high,T,3,6/17/2019,4,123,4363,9,6,8.760734086,Low,ANTS
PR,high,T,3,6/17/2019,4,123,4363,17,6,8.760734086,Low,GAME
PR,high,T,3,6/17/2019,4,123,4363,7,6,8.760734086,Low,CATA
PR,high,T,3,6/17/2019,4,123,4363,10,6,8.760734086,Low,FIN
PR,high,T,3,7/22/2019,21,160,4570,21,7,11.77498434,Low,ANTS
PR,high,T,3,7/22/2019,21,160,4570,49,7,11.77498434,Low,EFI
PR,high,T,3,7/22/2019,21,160,4570,8,7,11.77498434,Low,CATA
PR,high,T,3,7/22/2019,21,160,4570,9,7,11.77498434,Low,FIN
PR,high,T,3,8/16/2019,34,277,4939,6,8,14.46787252,Low,EFI
PR,high,T,3,8/16/2019,34,277,4939,20,8,14.46787252,Low,GMAC
PR,high,T,3,8/16/2019,34,277,4939,2,8,14.46787252,Low,MTIN
PR,high,T,3,8/16/2019,34,277,4939,5,8,14.46787252,Low,PPLA
PR,high,T,3,8/16/2019,34,277,4939,76,8,14.46787252,Low,HIVE
PR,high,T,3,8/16/2019,34,277,4939,9,8,14.46787252,Low,FIN
PR,high,T,3,9/16/2019,50,278,3864,10,9,70.57240697,High,EFI
PR,high,T,3,9/16/2019,50,278,3864,141,9,70.57240697,High,GMAC
PR,high,T,3,9/16/2019,50,278,3864,10,9,70.57240697,High,CATA
PR,high,T,3,9/16/2019,50,278,3864,12,9,70.57240697,High,FIN
PR,high,T,3,10/8/2019,63,234,6791,36,10,29.0961191,High,ANTS
PR,high,T,3,10/8/2019,63,234,6791,19,10,29.0961191,High,EFI
PR,high,T,3,10/8/2019,63,234,6791,466,10,29.0961191,High,FCOT
PR,high,T,3,10/8/2019,63,234,6791,1,10,29.0961191,High,FIN
PR,high,T,3,10/29/2019,72,252,6936,26,10,29.0961191,High,EFI
PR,high,T,3,10/29/2019,72,252,6936,162,10,29.0961191,High,SOBO
PR,high,T,3,10/29/2019,72,252,6936,20,10,29.0961191,High,CATA
PR,high,T,3,10/29/2019,72,252,6936,9,10,29.0961191,High,FIN
MA,high,T,2,6/14/2019,2,117,5147,54,6,8.760734086,Low,GAME
MA,high,T,2,6/14/2019,2,117,5147,12,6,8.760734086,Low,CATA
MA,high,T,2,6/14/2019,2,117,5147,1,6,8.760734086,Low,FIN
MA,high,T,2,7/22/2019,22,161,971,8,7,11.77498434,Low,CATA
MA,high,T,2,7/22/2019,22,161,971,7,7,11.77498434,Low,FIN
