Animal,DateTime,Session,Scaled.Rank,Phenotype,Pair,Focal,Duration,DM_intake,CP_intake,CF_intake,WSC_intake,NDF_intake,DominanceCategory,Month,MonthlyFruitBiomass,FruitBiomassCategory,PE_Intake,NDF_Energy_Intake,CF_Energy_Intake,WSC_Energy_Intake,NPE_Intake,NPE_PE_Ratio,ME_Total,DryMassTotal
QD,11/4/2019,76,0.666666667,D,9,261,6804,80.40118462,8.032541156,1.350743178,23.38104843,6.11896397,high,11,48.12151099,High,32.13016462,24.47585588,12.1566886,93.52419374,105.6808823,3.289148486,137.811047,38.88329674
RS,11/11/2019,77,0.6,D,10,262,7076,56.10644937,16.45499544,18.64125126,1.48993158,17.20024724,mid,11,48.12151099,High,65.81998175,68.80098896,167.7712613,5.95972632,173.7309876,2.639487022,239.5509694,53.78642552
MW,11/11/2019,77,0,T,10,263,5029,25.18978724,1.989553284,1.710989956,8.547819882,7.884769374,low,11,48.12151099,High,7.958213136,31.5390775,15.3989096,34.19127953,49.59018913,6.231322067,57.54840227,20.1331325
RS,11/12/2019,78,0.6,D,10,264,6172,57.05006553,14.11563816,19.40023151,1.716268477,19.0266348,mid,11,48.12151099,High,56.46255265,76.1065392,174.6020836,6.865073908,181.4671575,3.213938247,237.9297101,54.25877295
MW,11/12/2019,78,0,T,10,265,6110,11.31159422,4.035641582,3.162292318,0.358912758,3.056717978,low,11,48.12151099,High,16.14256633,12.22687191,28.46063086,1.435651032,29.89628189,1.852015428,46.03884822,10.61356464
PD,11/14/2019,79,0.333333333,T,9,266,5659,6.385711463,2.802273934,0.677093916,0.588305195,0.835029152,mid,11,48.12151099,High,11.20909574,3.340116608,6.093845244,2.35322078,8.447066024,0.753590318,19.65616176,4.902702197
QD,11/14/2019,79,0.666666667,D,9,267,6572,15.03346667,6.477835391,1.010630773,1.320859147,2.061010533,high,11,48.12151099,High,25.91134156,8.244042132,9.095676957,5.283436588,14.37911355,0.554935124,40.29045511,10.87033584
CH,11/15/2019,80,0,T,7,268,6001,113.1706452,11.54721873,12.19183565,23.85368514,45.10924372,low,11,48.12151099,High,46.18887492,180.4369749,109.7265209,95.41474055,205.1412614,4.441356534,251.3301364,92.70198324
VN,11/15/2019,80,0.142857143,D,7,269,5415,76.805,10.26691001,5.160268999,17.17260728,28.79218,low,11,48.12151099,High,41.06764002,115.16872,46.44242099,68.69042912,115.1328501,2.803493214,156.2004901,61.39196628
SJ,11/18/2019,81,0.428571429,D,5,270,7212,38.22268616,10.01145153,2.086225761,6.109854991,6.192392399,mid,11,48.12151099,High,40.0458061,24.7695696,18.77603185,24.43941996,43.21545181,1.079150503,83.26125792,24.39992468
SS,11/18/2019,81,1,T,5,271,6415,24.64169962,5.297438848,1.63732917,4.359196618,3.534750796,high,11,48.12151099,High,21.18975539,14.13900318,14.73596253,17.43678647,32.172749,1.518316205,53.36250439,14.82871543
TH,11/19/2019,82,0.714285714,T,8,272,6120,59.63580463,6.95121807,8.979873214,11.50155433,14.67279494,high,11,48.12151099,High,27.80487228,58.69117977,80.81885893,46.00621733,126.8250763,4.561253689,154.6299485,42.10544056
CE,11/19/2019,82,0.285714286,D,8,273,6210,24.77598201,2.968508278,1.23513299,5.674179158,6.03413664,low,11,48.12151099,High,11.87403311,24.13654656,11.11619691,22.69671663,33.81291354,2.847635106,45.68694665,15.91195707
